id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed
5B6,F,2005,11,76H,70C,22H,HH,1,H,100,5026,2.8333333333333335
77S,F,2003,13,76H,T53,76H,HH,2,H,94.87179487,7719,2.8333333333333335
8K7,F,2010,6,21N,91O,21N,HH,3,H,92.30769231,8117,3
62S,F,2003,13,N86,40C,N86,HH,4,H,89.74358974,6219,3
0G3,F,2007,9,62S,08O,62S,HH,5,H,87.17948718,73,2.8333333333333335
2C0,F,2005,11,19J,28B,19J,HH,6,H,84.61538462,2030,2.8333333333333335
0B9,F,2004,12,19J,78B,19J,HH,7,H,82.05128205,29,3
6H6,F,2008,8,0B9,17L,0B9,HH,8,M,79.48717949,6086,3
48V,F,2003,13,19J,29H,19J,HH,9,M,76.92307692,4822,3
7E3,F,2007,9,48V,02R,48V,HH,10,M,74.35897436,7053,3
22H,F,1996,20,N86,V79,N86,F,11,M,71.79487179,2208,3
20S,F,2001,15,22H,X58,22H,HH,12,M,69.23076923,2019,3
4J3,F,2009,7,20S,93R,20S,HH,13,M,66.66666667,4103,2.8333333333333335
2E8,F,2006,10,13A,15N,13A,HH,14,M,64.1025641,2058,3
4J6,F,2009,7,3C0,88T,3C0,HH,15,M,61.53846154,4106,3
0M2,F,2010,6,2E8,91O,2E8,HH,16,M,58.97435897,132,2.8333333333333335
9I5,F,2009,7,12T,22R,12T,HH,17,M,56.41025641,9095,3
16S,F,2001,15,13A,X61,13A,HH,18,M,53.84615385,1619,2.8333333333333335
7L7,F,2010,6,16S,91O,16S,HH,19,M,51.28205128,7127,2.8333333333333335
8E2,F,2007,9,73C,46N,73C,HH,20,L,48.71794872,8052,3
6B4,F,2005,11,73C,43H,73C,HH,21,L,46.15384615,6024,3
80S,F,2002,14,73C,T53,73C,HH,22,L,43.58974359,8019,3
94S,F,2002,14,66I,T53,66I,HH,23,L,41.02564103,9419,3
3A9,F,2004,12,81B,96B,81B,HH,24,L,38.46153846,3019,3
03Z,F,2004,12,81B,79F,81B,HH,25,L,35.8974359,326,2.8333333333333335
7L0,F,2010,6,03Z,6A8,03Z,HH,26,L,33.33333333,7120,2.8333333333333335
4I9,F,2009,7,35O,22R,35O,HH,27,L,30.76923077,4099,3
65Z,F,2004,12,55A,40C,55A,HH,28,L,28.20512821,6526,3
5J6,F,2009,7,3A4,89S,3A4,HH,29,L,25.64102564,5106,3.1666666666666665
55R,F,2001,15,55A,X61,55A,HH,30,L,23.07692308,5518,3
9I7,F,2009,7,55R,02R,55R,HH,31,L,20.51282051,9097,3
V80,F,1991,25,A71,C18,A71,F,32,L,17.94871795,2280,2.8333333333333335
56R,F,2001,15,V80,43A,V80,HH,33,L,15.38461538,5618,3
2E9,F,2006,10,56R,15N,56R,HH,34,L,12.82051282,2059,3.1666666666666665
4L8,F,2010,6,2E9,18Z,2E9,HH,35,L,10.256410259999999,4128,2.5
36O,F,2e3,16,V80,90A,V80,HH,36,L,7.692307692,3615,2.8333333333333335
7E0,F,2007,9,36O,68N,36O,HH,37,L,5.128205128,7050,2.6666666666666665
2C7,F,2005,11,V72,V45,V72,HH,38,L,2.564102564,2037,3.1666666666666665
5I9,F,2009,7,2C7,88T,2C7,HH,39,L,0,5099,2.6666666666666665
3P7,F,2012,4,62S,73Z,62S,HH,NA,NA,NA,3167,3
9P5,F,2012,4,6B4,73Z,6B4,HH,NA,NA,NA,9165,2.8333333333333335
3N4,F,2011,5,3A9,02R,3A9,HH,NA,NA,NA,3144,3
9N0,F,2011,5,5D4,04Z,5D4,HH,NA,NA,NA,9140,3
5N1,F,2011,5,39Z,02R,39Z,HH,NA,NA,NA,5141,2.8333333333333335
4N5,F,2011,5,94S,02R,94S,HH,NA,NA,NA,4145,3.1666666666666665
5P6,F,2012,4,5B6,2C9,5B6,HH,NA,NA,NA,5166,2.8333333333333335
94O,M,2e3,16,13B,V45,13B,V,1,H,100,9415,3
43N,M,1999,17,D82,96B,D82,S,2,H,88.88888889,4314,3.1666666666666665
1B7,M,2005,11,06J,18I,06J,R,3,H,83.33333333,1027,3
41N,M,2e3,16,36D,86A,36D,S,4,M,77.77777778,4114,3
4J0,M,2009,7,48V,23T,48V,HH,5,M,72.22222222,4100,2.8333333333333335
6I4,M,2009,7,22H,89S,22H,HH,6,M,66.66666667,6094,3
50P,M,2001,15,56E,I37,56E,F,7,M,61.11111111,5016,3
3L6,M,2010,6,20S,02R,20S,HH,8,M,55.55555556,3126,3
3L5,M,2010,6,35O,02R,35O,HH,9,M,50,3125,2.8333333333333335
4C6,M,2006,10,78I,44E,78I,V,10,L,44.44444444,4036,3
49Z,M,2004,12,15E,85E,15E,V,11,L,38.88888889,4926,2.8333333333333335
3A6,M,2004,12,07L,48G,07L,R,12,L,33.33333333,3016,3.1666666666666665
8L6,M,2010,6,1E2,80B,1E2,KK,13,L,27.77777778,8126,3
0K1,M,2009,7,4C9,T82,4C9,V,14,L,22.22222222,111,3
5H7,M,2008,8,2A5,36S,2A5,F,15,L,16.66666667,5087,3
9C6,M,2006,10,54N,29H,54N,R,16,L,11.11111111,9036,2.8333333333333335
1G8,M,2008,8,31L,41N,31L,V,17,L,5.555555556,1078,2
60T,M,2002,14,10C,25I,10C,R,18,L,0,6020,2.6666666666666665
1Q8,M,2012,4,0B9,2C9,0B9,HH,NA,NA,NA,1178,2.8333333333333335
9P6,M,2012,4,7E0,2F8,7E0,HH,NA,NA,NA,9166,3
9O0,M,2012,4,81B,19T,81B,HH,NA,NA,NA,9150,3
4N8,M,2011,5,2C0,30V,2C0,HH,NA,NA,NA,4148,3
3P2,M,2012,4,2E8,2C9,2E8,HH,NA,NA,NA,3162,3
4N7,M,2011,5,77S,02R,77S,HH,NA,NA,NA,4147,3
